Fecha y Hora, Uso CPU (%), Uso Memoria (%), Uso Disco (%)
2025-01-26 15:00:21, 5.40, 38.60, 46.00
2025-01-26 15:00:24, 5.60, 38.60, 46.00
2025-01-26 15:00:27, 7.50, 38.50, 46.00
2025-01-26 15:00:30, 7.70, 38.40, 46.00
2025-01-26 15:00:33, 3.30, 38.30, 46.00
2025-01-26 15:00:36, 2.50, 38.20, 46.00
2025-01-26 15:00:39, 0.00, 38.20, 46.00
2025-01-26 15:00:42, 6.20, 38.20, 46.00
2025-01-26 15:00:45, 23.90, 38.50, 46.00
2025-01-26 15:00:48, 2.40, 38.50, 46.00
2025-01-26 15:00:51, 38.50, 38.40, 46.00
2025-01-26 15:00:54, 0.00, 38.40, 46.00
2025-01-26 15:00:57, 0.00, 38.30, 46.00
2025-01-26 15:01:00, 0.80, 38.20, 46.00
